barcode	status	assignment	log_prob_singleton	log_prob_doublet	cluster0	cluster1
29784_4_348_sorted.bam	doublet	0/1	-18825.558396435757	-9956.25971997952	-18825.558396435757	-24269.79140456773
29784_4_204_sorted.bam	singlet	0	-495.90835264205225	-1587.7393098294583	-495.90835264205225	-7867.314464910389
29784_4_290_sorted.bam	singlet	1	-2984.676678984688	-6688.888553080307	-23291.125837155305	-2984.676678984688
29784_4_150_sorted.bam	singlet	0	-7498.075370568569	-34053.114966497815	-7498.075370568569	-137358.59232056644
29784_4_178_sorted.bam	singlet	1	-8487.96128360297	-19155.32134337374	-53045.22233027033	-8487.96128360297
29784_4_25_sorted.bam	singlet	0	-574.648325991742	-2254.422762737005	-574.648325991742	-10488.25057907138
29784_4_219_sorted.bam	singlet	1	-3957.29392140992	-13740.649628362722	-43741.35324054425	-3957.29392140992
29784_4_139_sorted.bam	singlet	1	-4934.807937770974	-11618.208110332935	-37483.32734838076	-4934.807937770974
29784_4_131_sorted.bam	singlet	1	-8253.745114832047	-25175.544656760074	-90668.25419514139	-8253.745114832047
29784_4_96_sorted.bam	singlet	1	-4191.286877014699	-11886.534179276548	-44432.002389647045	-4191.286877014699
29784_4_292_sorted.bam	singlet	1	-6164.884903607533	-12111.632036169854	-37802.004676610224	-6164.884903607533
29784_4_108_sorted.bam	singlet	1	-13930.36844321863	-33129.791150648685	-106656.8608945504	-13930.36844321863
29784_4_77_sorted.bam	singlet	0	-8371.73442750762	-36505.01906779527	-8371.73442750762	-147872.67171422183
29784_4_225_sorted.bam	singlet	0	-693.407711027614	-2136.8946786547976	-693.407711027614	-7724.31462859388
29784_4_340_sorted.bam	singlet	1	-4550.578076001172	-10879.385523743704	-38688.715595471505	-4550.578076001172
29784_4_21_sorted.bam	singlet	1	-763.7405618850811	-2271.0868191240015	-8244.84930093802	-763.7405618850811
29784_4_268_sorted.bam	singlet	1	-8586.148938652186	-22186.191779111512	-67600.29256681139	-8586.148938652186
29784_4_319_sorted.bam	doublet	1/0	-15883.759259165134	-9255.653852856613	-23714.56765315031	-15883.759259165134
29784_4_265_sorted.bam	singlet	1	-1276.1345768725585	-2802.5528719341573	-11152.817917742765	-1276.1345768725585
29784_4_274_sorted.bam	singlet	0	-2800.512544107198	-11956.416280232936	-2800.512544107198	-46841.192371399025
29784_4_197_sorted.bam	singlet	1	-2405.8865781346003	-4307.6586941166015	-15185.679173396768	-2405.8865781346003
29784_4_169_sorted.bam	singlet	0	-3832.9756098035364	-14276.598704403697	-3832.9756098035364	-45721.07420116816
29784_4_49_sorted.bam	singlet	0	-2211.1264761717493	-6759.721547759581	-2211.1264761717493	-29484.189092221983
29784_4_27_sorted.bam	singlet	0	-297.9017978924717	-1474.4341950412322	-297.9017978924717	-7424.3742286969145
29784_4_5_sorted.bam	singlet	0	-538.8998270990803	-2254.694689807066	-538.8998270990803	-10939.986919795065
29784_4_362_sorted.bam	singlet	1	-5394.323313110717	-16764.434682209743	-57373.40546405914	-5394.323313110717
29784_4_289_sorted.bam	singlet	1	-3503.6953350933854	-9207.56615673104	-34671.63371242562	-3503.6953350933854
29784_4_272_sorted.bam	singlet	0	-809.6106622484551	-2904.754484582799	-809.6106622484551	-11624.70860487598
29784_4_369_sorted.bam	singlet	0	-1564.8877831284194	-9999.80555787466	-1564.8877831284194	-35873.77434427573
29784_4_154_sorted.bam	singlet	1	-6158.624066525235	-19687.69918821159	-74809.09488686277	-6158.624066525235
29784_4_314_sorted.bam	singlet	1	-2604.197380083136	-7541.6137365175755	-27989.730698692107	-2604.197380083136
29784_4_76_sorted.bam	singlet	0	-9496.615928893341	-35929.22324405247	-9496.615928893341	-122093.95462649329
29784_4_84_sorted.bam	singlet	1	-5270.711316419163	-12417.88876300258	-42999.75615744384	-5270.711316419163
29784_4_29_sorted.bam	singlet	0	-1058.0108341783407	-4110.402334944885	-1058.0108341783407	-20679.644123931255
29784_4_251_sorted.bam	singlet	0	-1291.9061684344767	-6689.063058726887	-1291.9061684344767	-31986.838496224373
29784_4_297_sorted.bam	singlet	0	-1338.0742946116738	-4972.688856201214	-1338.0742946116738	-17520.274202818153
29784_4_337_sorted.bam	singlet	1	-2582.7415650751223	-5783.537090066368	-21291.805910077423	-2582.7415650751223
29784_4_247_sorted.bam	singlet	0	-11632.75287898638	-12029.276471791805	-11632.75287898638	-44266.61912007288
29784_4_127_sorted.bam	singlet	1	-5314.121833513411	-11202.919916402478	-37682.71838314759	-5314.121833513411
29784_4_28_sorted.bam	singlet	0	-700.9938893161803	-2994.033063232103	-700.9938893161803	-16201.948699832408
29784_4_98_sorted.bam	singlet	0	-56.781359759560665	-207.71484164062107	-56.781359759560665	-819.3369990610869
29784_4_57_sorted.bam	singlet	1	-3096.26488203217	-7186.822952592678	-26552.364318805794	-3096.26488203217
29784_4_126_sorted.bam	singlet	0	-2594.811458025477	-13290.689855472592	-2594.811458025477	-54953.423778419914
29784_4_34_sorted.bam	singlet	1	-1267.2119664408747	-3339.7490531616013	-13759.242154474266	-1267.2119664408747
29784_4_194_sorted.bam	singlet	1	-2637.0320713668075	-8049.967300665116	-32081.939392375054	-2637.0320713668075
29784_4_298_sorted.bam	singlet	0	-11338.861827871748	-43535.962506583375	-11338.861827871748	-151263.53776338903
29784_4_316_sorted.bam	singlet	1	-5870.136788252617	-13764.92110176958	-46377.22880033834	-5870.136788252617
29784_4_30_sorted.bam	singlet	0	-520.0906139296678	-2678.891867979906	-520.0906139296678	-9117.28414104459
29784_4_242_sorted.bam	singlet	1	-2225.4337776345656	-6273.167179070721	-24470.49851151111	-2225.4337776345656
29784_4_107_sorted.bam	singlet	1	-10790.98388921604	-27092.97710733223	-84381.34959352383	-10790.98388921604
29784_4_53_sorted.bam	singlet	0	-7581.827709988097	-29076.51077168304	-7581.827709988097	-115261.30770839324
29784_4_196_sorted.bam	singlet	1	-485.3610570193222	-1278.9884342536834	-5475.871034825602	-485.3610570193222
29784_4_195_sorted.bam	singlet	1	-718.600478922949	-1764.4529568158637	-7856.756193947198	-718.600478922949
29784_4_172_sorted.bam	singlet	0	-4615.783288771618	-18957.105367272787	-4615.783288771618	-65315.17950151166
29784_4_104_sorted.bam	singlet	1	-2918.453269878401	-8980.577563012579	-34787.820804054034	-2918.453269878401
29784_4_79_sorted.bam	singlet	1	-5519.521640503095	-11329.632844183005	-39058.41412062434	-5519.521640503095
29784_4_220_sorted.bam	singlet	1	-3456.132941349202	-8878.911666298598	-32344.970222383337	-3456.132941349202
29784_4_103_sorted.bam	singlet	1	-7651.197221157848	-16993.615707380803	-61883.66997327362	-7651.197221157848
29784_4_149_sorted.bam	singlet	0	-4862.4785638045905	-18643.50449073494	-4862.4785638045905	-76344.68894563167
29784_4_125_sorted.bam	singlet	0	-672.4245335436517	-1890.1035223221156	-672.4245335436517	-5293.379348815959
29784_4_121_sorted.bam	singlet	0	-1838.4072878637137	-7346.766814810605	-1838.4072878637137	-34588.11128493592
29784_4_269_sorted.bam	singlet	1	-4040.592738979843	-8018.529805346139	-27671.183604796923	-4040.592738979843
